,ID_Distrito,Precio,Descripcion
246,7,895,"Estudio En Alquiler En Calle Garcia De Paredes, Trafalgar, Chamberí, Madrid, Madrid"
247,13,900,"Piso En Alquiler En Calle Antonio Durán Tovar, Portazgo, Puente De Vallecas, Madrid, Madrid"
248,4,900,"Piso En Alquiler En Calle Sancho Dávila, Fuente Del Berro, Salamanca, Madrid, Madrid"
249,1,900,"Piso En Alquiler En Calle De La Esperanza, Embajadores, Centro, Madrid, Madrid"
250,1,900,"Apartamento En Alquiler En Calle San Bernardo, Universidad, Centro, Madrid, Madrid"
251,1,900,"Estudio En Alquiler En Calle San Vicente Ferrer, Universidad, Centro, Madrid, Madrid"
252,1,900,"Apartamento En Alquiler En Calle De Las Infantas, Justicia, Centro, Madrid, Madrid"
253,2,900,"Piso En Alquiler En Paseo De Las Yeserias, Acacias, Arganzuela, Madrid, Madrid"
254,7,900,"Piso En Alquiler En Calle Rodriguez San Pedro, Gaztambide, Chamberí, Madrid, Madrid"
255,3,900,"Piso En Alquiler En Calle Andres Torrejon, Jerónimos, Retiro, Madrid, Madrid"
